commit,high_severity,medium_severity,low_severity,high_confidence,medium_confidence,low_confidence,unique_cwes
93010ab5c9848200809433b70ce7365e5dcaecc2,33,146,125564,125191,533,19,N/A
84c6fa256cb35e2afecee5b2d43034962f91283a,33,146,125504,125131,533,19,N/A
153ccf86b0f60dd0372165f4e8d2cf7f0b635bd7,33,146,125546,125173,533,19,N/A
4758452e920dd15ab5a08173ea9418f0d2d011bd,33,146,125551,125178,533,19,N/A
6027a26761986983af7486d7f3957f2f8e3ae2e5,33,146,125507,125134,533,19,N/A
6b724603c8b5db40d66af0c6121d7c2b1e952856,33,146,125550,125177,533,19,N/A
87db9817124ee015c49b5c2cdefd22ee5b33583f,33,146,125546,125173,533,19,N/A
4ed2689678211246407e2b5ae3855cbd2d9210ce,33,146,125495,125122,533,19,N/A
4479b7b13d04df6bacc43097d5348816e5466fd3,33,146,125512,125139,533,19,N/A
798ee60ae505c293e18668b110852836c0fa3e63,33,146,125551,125178,533,19,N/A
16d335efc0261d883f947f200747b954ebf9b6e3,33,146,125498,125125,533,19,N/A
466ec0b596e8d9141d94c00e9946bfcc2799796a,33,146,125496,125123,533,19,N/A
3a80a2d5b95909e5f4be28fc6e743ee5ca3cb051,33,146,125546,125173,533,19,N/A
5f3344cd3d1088785107fd12b72b00fff227ff77,33,146,125550,125177,533,19,N/A
7f640252a1a199b14ca006e77fe7b41ff9a789c4,33,146,125516,125143,533,19,N/A
1e0b89c3817f27bb24f66f29fcc724fd5abe47ee,33,146,125516,125143,533,19,N/A
842356877e820a167e45d0c955e3b1c313c62cfd,33,146,125558,125185,533,19,N/A
28ef0a33ad38b901870343e0088c14c9777e43a6,33,146,125551,125178,533,19,N/A
883ce6842d351197a1bd8d9cf3f8938ea5f91fa6,33,146,125546,125173,533,19,N/A
858f0e66573419e2fe87924dd310fd4aa24b3fe6,33,146,125496,125123,533,19,N/A
37a048a2cabad036c7d8e056fbdd70ae6406fa3f,33,146,125512,125139,533,19,N/A
5c642ef62626eb4afab8034b43fd8fc2072e2e8d,33,146,125549,125176,533,19,N/A
5d16a23d79696e8d0b948074c113b5443988fce3,33,146,125558,125185,533,19,N/A
693de289a2db4dcad756854f459551521756067c,33,146,125564,125191,533,19,N/A
56cb54588e98de956866d5dbe507db2a02edef69,33,146,125558,125185,533,19,N/A
588d6ad4cf7d17e19a03d9d6e3d6878aabedb855,33,146,125551,125178,533,19,N/A
2465d0db7b8f7b3110770862740e1180ab4d8d10,33,146,125551,125178,533,19,N/A
1f122ea54dae7a36d6aa83e4e60ccd364cada888,33,146,125558,125185,533,19,N/A
2571725eb93be9c58203ccccc7cbbf4e0476bcea,33,146,125506,125133,533,19,N/A
56f553e352392e8d42a72d9689a73781ef4503a3,33,146,125550,125177,533,19,N/A
92c619cdd6bd3812f2fdd43eb3b743334adc7a15,33,146,125514,125141,533,19,N/A
65279c94ac38a920d6db2e4f28f5d560dd141835,33,146,125546,125173,533,19,N/A
2883f0a1e8b24f1647bc244ddf8c19d869f63043,33,146,125558,125185,533,19,N/A
276e2e8f59f01a088f0b75f6f8147225c75b5c0b,33,146,125504,125131,533,19,N/A
8874fbe9c7056439dd913ca121ab73d54bd2af74,33,146,125551,125178,533,19,N/A
489c4862786b627d56dc286d670d6ffb9f6212f9,33,146,125549,125176,533,19,N/A
77f8ddd948ee048761f26ed834cb348a590da61d,33,146,125549,125176,533,19,N/A
3917b460f47c3e508aa842808998bafe78a235e7,33,146,125558,125185,533,19,N/A
174515d1974dc1693fcf7a33ba07df04a00bfd81,33,146,125564,125191,533,19,N/A
5961a46fc0f998982c410d55df2e7b8c39cb0873,33,146,125510,125137,533,19,N/A
1385bcdb90e7abde0edd7e745661cbecc9feceed,33,146,125504,125131,533,19,N/A
436acaf3d036cc5574671fa64d261bdfcca9966b,33,146,125514,125141,533,19,N/A
1492c59abea1d6da261ba2bae1cf868ab2147706,33,146,125512,125139,533,19,N/A
765691c84d570a73d56083e073d2af67ad82c575,33,146,125512,125139,533,19,N/A
663a204c044c94535a7e2ea260b69d245a8a0121,33,146,125550,125177,533,19,N/A
1b8b348effbbf3cf3a1b337565ed5957fce84573,33,146,125514,125141,533,19,N/A
74ed0e801118450975cc9f2778aeb3b7fa1635f4,33,146,125498,125125,533,19,N/A
2453e7e6868e479764c34b64da305eabf2bcd886,33,146,125512,125139,533,19,N/A
4b4d75063cb077820c358b2761d0e163ff03eb6d,33,146,125516,125143,533,19,N/A
8869236e9cc9b7c2d05a6387ca520f4b5f5298be,33,146,125550,125177,533,19,N/A
27f529622c545c389bddef88f3383a27ffa25edd,33,146,125558,125185,533,19,N/A
34504f45a54b90aa4a875e6e368877dc2ce2b42b,33,146,125551,125178,533,19,N/A
1d36279e7994597cb811f4032cc3f98946bf78e4,33,146,125551,125178,533,19,N/A
6d91bdb02e0c3045f3cced95eec808112427d167,33,146,125516,125143,533,19,N/A
5f6762321457a6db69f964a16dd0b0b8aaeeebfa,33,146,125504,125131,533,19,N/A
703848766a8da71eb10d8e6a506eaddef31eeff1,33,146,125550,125177,533,19,N/A
61e30d0e912e7050af8848b672f5631269a175ec,33,146,125517,125144,533,19,N/A
34318ab655b02a8a34ae5d5037fa9f9d85085d64,33,146,125507,125134,533,19,N/A
4e2dfba45fc2a02662c96d1f27e9d2f9f6ad359f,33,146,125517,125144,533,19,N/A
3df1ebf2fc2e5d73c1ed23aafa3d5d5f3661346b,33,146,125550,125177,533,19,N/A
