commit,high_severity,medium_severity,low_severity,high_confidence,medium_confidence,low_confidence,unique_cwes
51398f8bd568a6324a8cafe20c068d0974913ad5,16,538,703,732,494,31,N/A
5a1cae3a5675c5733daf5949759476d65aa0e636,16,538,703,732,494,31,N/A
647dca413262d8778471479e789f96099044af39,16,538,703,732,494,31,N/A
ef6a83789b310a441237a190a493c9586a4cb260,16,538,706,735,494,31,N/A
7500044a825b3e6695f4f0f9e56d5bdc0c5d7988,16,538,703,732,494,31,N/A
9a729fb61add16d89a4b42b491aec2d22f1ae69a,16,538,703,732,494,31,N/A
579a1c99962c8697053974a70de635a997be63dc,16,538,703,732,494,31,N/A
8f400a7ff086b9ea2a20e69826d211f965b31185,16,538,706,735,494,31,N/A
ec7044c706f48f5ab3d9e4c35e4078b9f9dcaaf2,16,538,706,735,494,31,N/A
e7a9d756eedd0317132c81c3695d4a34bba5dcd3,16,538,706,735,494,31,N/A
8df5ce80d26824ce72af41edc03275d435de9432,16,538,706,735,494,31,N/A
2a5aca38bbb37f6e7590ac6e68912bfbefb17dae,16,538,706,735,494,31,N/A
ed984f2ac4923d6bc625adb4e8d9146765a02ab1,16,538,706,735,494,31,N/A
90fc76294808b16a86acc9a073435250466932e3,16,538,706,735,494,31,N/A
0bf412111be686b6b23e00863f5d449d63557dbf,16,538,703,732,494,31,N/A
5183f7c287a9a5d61ca1103b55166cda52d9c647,16,538,706,735,494,31,N/A
ea1e3703bee28bfbe4f32ceb39ad31763353b143,16,538,703,732,494,31,N/A
86493307f97b9795a74227b6af2d59a267160847,16,538,703,732,494,31,N/A
fb65c520401d8eefb97725d16608444901cfed14,16,538,706,735,494,31,N/A
6d1cf5375f6fbc1496095d2356357c3b08a46324,16,538,703,732,494,31,N/A
e804a07d76fc85468f27f7130ae1442fabcd650d,16,538,706,735,494,31,N/A
8f942f1c1dbf4222c8ca48253f7959366ed1bb60,16,538,703,732,494,31,N/A
9120a19c4ecb643111b073dd1069e6b410a03c23,16,538,706,735,494,31,N/A
14b46c1b848d846fad55c8634daeabd8787cf0d6,16,538,703,732,494,31,N/A
2fa1f99ab49ae5b6bc0a15ed9398d6fa2996f02a,16,538,703,732,494,31,N/A
582ba18d56167587e290545f113d3956e73a5801,16,538,703,732,494,31,N/A
c3a23aa02faa1cf1d32e43d66858e793cd9ecac4,16,538,703,732,494,31,N/A
0dcc4a1dbc56b1f3aef9be749aff96a85ca92721,16,538,706,735,494,31,N/A
2d34ebe49a25d0974392583d5bbd954baf742a32,16,538,703,732,494,31,N/A
5adadf6e8c74ab14d432e9d682ca1914789386de,16,538,706,735,494,31,N/A
2684a383bc67149ceea93cb1b99c8492b4614dcd,16,538,703,732,494,31,N/A
5a8b088a76629739f33631710b735aa5ca1e3672,16,538,703,732,494,31,N/A
54a902c6e81214462388f79a7c42f1c88c863dfd,16,538,703,732,494,31,N/A
eb4ea9c3efca479b169bed88a5521c4cf47ed2a2,16,538,706,735,494,31,N/A
27b68bcadf1ab2e9f7fd223aed42db352ccdc62d,16,538,706,735,494,31,N/A
99ac8e2589ea978c1c80ff66b4536814121f77dd,16,538,703,732,494,31,N/A
1823a8011346afc280e0efaf8cb7c086b148f881,16,538,706,735,494,31,N/A
e44e8327d3d88d86895735c0e427102063ff5b55,16,538,706,735,494,31,N/A
77666f2fa1ef93f7b7728a565260229918d51532,16,538,703,732,494,31,N/A
922c1c732a47c02aa5ef28b0b1a2bd9bc9b92d87,16,538,706,735,494,31,N/A
de1117ea8eabe0ee0aa048e5a4e249eab7c4245e,16,538,706,735,494,31,N/A
dc69a63f844b2ef3bc3371edde91644cf0bef0ee,16,538,703,732,494,31,N/A
6fcd0440aaa7601aa258d1c956eecfaedf72fbf4,16,538,703,732,494,31,N/A
efe3ca09e029c63e25f6e19843cb0c68cc7fa816,16,538,706,735,494,31,N/A
ff3aaf036f0cb66cd8f404cd51c603e68aaa7676,16,538,703,732,494,31,N/A
bad1a18ff28a671f2fdfd447bdf8f43602f882c2,16,538,703,732,494,31,N/A
9d22a7d8f0e814a596ecbeb6efd051262f6a03e3,16,538,703,732,494,31,N/A
ab148c02cedbac492f29930dcd5346e1af052635,16,538,706,735,494,31,N/A
c07ba43c4bc94272c3d4a13c8f468b94db1e655c,16,538,703,732,494,31,N/A
55d89e25f4115c5674cdd9b9bcba2bb2bb6d820b,16,538,703,732,494,31,N/A
8713e4ae96817a0c7be3f7a8fee25a7c7f819721,16,538,706,735,494,31,N/A
cecb76a942e4c9df518df098b1e62778cfe20f06,16,538,703,732,494,31,N/A
6a9db1e626952ffb37633586e6647319ea53467d,16,538,706,735,494,31,N/A
91bebf1adb43561b54bac18e76224759dc70acb3,16,538,703,732,494,31,N/A
e03440291b0599934da73b7dfbd2ccf7ec7270d8,16,538,706,735,494,31,N/A
62ad970c39c067dd30b068cb9ad04a93963bebb4,16,538,706,735,494,31,N/A
fc303551077c3e023fe4f9d01fc1b3026c816fa4,16,538,703,732,494,31,N/A
f7017db92cee1536c014710f475a613792c1e4b5,16,538,703,732,494,31,N/A
4b977a5d7283e7ca51288cc0ed0860e0004653ca,16,538,703,732,494,31,N/A
59353360590202fab04067e23214a825157c524b,16,538,703,732,494,31,N/A
aed303aff57ac990894b6354af001b0e8ea55f71,16,538,706,735,494,31,N/A
efb7f9ced2dcf71294353596a265e3fd67faffeb,16,538,703,732,494,31,N/A
ed1e7c02c9db2cc28b3ab5621ce6315fcee54b27,16,538,706,735,494,31,N/A
955b7c6ba105b328f387a9d63540dbabd4a05828,16,538,706,735,494,31,N/A
08dae5bd46a02a2e2798028c83d97b1894beffb8,16,538,706,735,494,31,N/A
30e0a43937e685083fa1210c3594678a3b813806,16,538,706,735,494,31,N/A
e2b9a179133ebca9773c5c259f6a7d27489cf141,16,538,706,735,494,31,N/A
afbb8c709d40e77b3f71c152d363c5ad95ceec2d,16,538,706,735,494,31,N/A
f480d5d3ed8234aea876f7eaf8a9154e5bf09d16,16,538,706,735,494,31,N/A
87c5de3b7f2316aa17353d74f54e6ff19013d049,16,538,703,732,494,31,N/A
0ee842bb456cb3854d5546106e1259db83714d34,16,538,703,732,494,31,N/A
0d1dd6bba0c18b7feb6caa5cbd8df80fbac54afd,16,538,703,732,494,31,N/A
d87bb0eb3ee4ca141c6fa251e6c2c97050e6c92c,16,538,703,732,494,31,N/A
727731d76d9dfd5304d536478d862778f6dd6d9b,16,538,703,732,494,31,N/A
193e3446e38c5415465608f68620508eace60388,16,538,703,732,494,31,N/A
d764487e79469e9ad7174145aa98d8d558a4605c,16,538,703,732,494,31,N/A
611e7bc3a0633a35ae3430e359c646e02fa3801d,16,538,706,735,494,31,N/A
c1257350ca118868bdfc867926dffad38b215162,16,538,706,735,494,31,N/A
6a2c296e706a0b8f9f9b89e66b37001ce2a03ea7,16,538,706,735,494,31,N/A
df2c4952df6d93c575fb8a3c853dc9d4c2449f36,16,538,703,732,494,31,N/A
eb70aafdba18ac30e53056162c32ee6c21dea0b4,16,538,703,732,494,31,N/A
c70dbcf8358ca7ff34e76b11dae0740284663911,16,538,706,735,494,31,N/A
8561100425876bde3be4b2a22324655f74ff9609,16,539,703,732,495,31,N/A
d386405e04dac50656af50d100a14efdf8c58e8f,16,538,703,732,494,31,N/A
43766c70bd2939771b7f37104866316faa34606b,16,538,703,732,494,31,N/A
51cab4ad51616f8fdb050631be5c710b93685ec3,16,538,703,732,494,31,N/A
56e23b2319cc29e6f8518f8f21f95a530dddb930,16,538,703,732,494,31,N/A
65c46d6932c0956d2988d13ec3d9ab3ef9d96d61,16,538,703,732,494,31,N/A
c09bceef68e5abb79accedd12dade16aa6577a09,16,538,703,732,494,31,N/A
ae2736ca3bf4c6a27e23ee95530ad965b550d4cc,16,538,703,732,494,31,N/A
304e9f3d6ae8387bbfc261d68b51247a1f5230bb,16,538,706,735,494,31,N/A
3235e76eb50be20756f82cb3bbe8e32cc586f7bb,16,538,706,735,494,31,N/A
1759c1dbd1e3cd4c9fcd345269e0d25796468f7f,16,538,703,732,494,31,N/A
2ae3044d9d4dfb8371055513e440e0384f211963,16,538,706,735,494,31,N/A
0ebea6e5c07485a36862e9b6e2be18d1694ad2c5,16,538,706,735,494,31,N/A
05002c153c5018e4429a326a6699c7c45e5ea957,16,538,703,732,494,31,N/A
e295033144e3085abaf9277d1bb0a6436ce73e01,16,538,706,735,494,31,N/A
3ecaa85a247373d7ccbcdd593b3fd4bb701f7674,16,538,703,732,494,31,N/A
