Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
guava,com.google.common.collect,MutableClassToInstanceMap,214.0,175.0,13.0,13.0,0.8636363636363636,0.5652173913043478
guava,com.google.common.collect,SerializedForm,0.0,0.0,1.0,1.0,1.0,0.0
guava,com.google.common.collect,Range,666.0,429.0,21.0,9.0,0.861111111111111,0.20930232558139536
guava,com.google.common.collect,RangeLexOrdering,0.0,0.0,1.0,1.0,0.0,0.0
guava,com.google.common.collect,AbstractRangeSet,105.0,0.0,15.0,13.0,0.0,0.8666666666666667
guava,com.google.common.collect,FilteredKeySetMultimap,36.0,0.0,9.0,9.0,0.0,0.6666666666666666
guava,com.google.common.collect,EntrySet,1.0,0.0,2.0,2.0,0.0,1.0
guava,com.google.common.collect,UnmodifiableListIterator,3.0,0.0,3.0,3.0,0.0,1.0
guava,com.google.common.collect,HashMultimapGwtSerializationDependencies,0.0,0.0,1.0,1.0,0.0,0.0
guava,com.google.common.collect,SortedMapDifference,6.0,0.0,4.0,4.0,0.0,-1.0
guava,com.google.common.collect,AbstractSortedSetMultimap,45.0,0.0,10.0,9.0,1.1111111111111112,0.9
guava,com.google.common.collect,ImmutableMapKeySet,19.0,0.0,4.0,4.0,0.8,0.2727272727272727
guava,com.google.common.collect,KeySetSerializedForm,0.0,0.0,1.0,1.0,1.0,0.0
guava,com.google.common.collect,AbstractMultiset,345.0,339.0,24.0,17.0,0.9423076923076923,0.6296296296296297
guava,com.google.common.collect,ElementSet,1.0,0.0,2.0,2.0,0.0,1.0
guava,com.google.common.collect,EntrySet,3.0,0.0,3.0,3.0,0.0,1.0
guava,com.google.common.collect,RegularImmutableSortedSet,243.0,0.0,10.0,3.0,0.6612903225806451,0.09375
guava,com.google.common.collect,Maps,103543.0,95458.0,156.0,147.0,0.9743114406779662,0.28964059196617337
guava,com.google.common.collect,MapDifferenceImpl,23.0,10.0,3.0,1.0,0.6875,0.0
guava,com.google.common.collect,ValueDifferenceImpl,1.0,0.0,1.0,1.0,0.16666666666666666,0.0
guava,com.google.common.collect,SortedMapDifferenceImpl,10.0,0.0,5.0,5.0,0.0,1.0
guava,com.google.common.collect,AsMapView,68.0,45.0,7.0,2.0,0.6923076923076923,0.14285714285714285
guava,com.google.common.collect,EntrySetImpl,1.0,0.0,2.0,2.0,0.0,1.0
guava,com.google.common.collect,SortedAsMapView,36.0,0.0,9.0,2.0,0.0,0.0
guava,com.google.common.collect,NavigableAsMapView,27.0,0.0,3.0,1.0,0.2857142857142857,0.0
guava,com.google.common.collect,UnmodifiableEntries,7.0,4.0,3.0,3.0,0.5,0.6
guava,com.google.common.collect,UnmodifiableEntrySet,3.0,0.0,3.0,3.0,0.0,1.0
guava,com.google.common.collect,BiMapConverter,0.0,0.0,1.0,1.0,0.5833333333333334,0.0
guava,com.google.common.collect,UnmodifiableBiMap,85.0,79.0,11.0,11.0,0.9384615384615385,0.7857142857142857
guava,com.google.common.collect,EntryTransformer,0.0,0.0,1.0,1.0,0.0,-1.0
guava,com.google.common.collect,TransformedEntriesMap,21.0,0.0,3.0,2.0,0.36363636363636365,0.16666666666666666
guava,com.google.common.collect,TransformedEntriesSortedMap,28.0,0.0,8.0,2.0,0.0,0.0
guava,com.google.common.collect,TransformedEntriesNavigableMap,276.0,0.0,24.0,2.0,0.0,0.08333333333333333
guava,com.google.common.collect,AbstractFilteredMap,13.0,0.0,2.0,2.0,0.5,0.0
guava,com.google.common.collect,FilteredMapValues,9.0,3.0,3.0,3.0,0.4,0.5
guava,com.google.common.collect,FilteredKeyMap,3.0,0.0,2.0,2.0,0.3333333333333333,0.0
guava,com.google.common.collect,FilteredEntryMap,117.0,114.0,14.0,14.0,0.8666666666666667,0.6875
guava,com.google.common.collect,EntrySet,10.0,0.0,5.0,5.0,0.0,1.0
